# x, y, z, vx, vy, vz
2.316041290760040283e-02,3.797545731067657471e-01,1.814782977104187012e+00,-1.467838883399963379e-04,1.548975706100463867e-04,1.251697540283203125e-04
2.301362901926040649e-02,3.799094706773757935e-01,1.814908146858215332e+00,-2.357922494411468506e-04,7.420778274536132812e-05,-1.033544540405273438e-04
2.277783676981925964e-02,3.799836784601211548e-01,1.814804792404174805e+00,-2.803094685077667236e-04,-2.993643283843994141e-05,-3.253221511840820312e-04
2.249752730131149292e-02,3.799537420272827148e-01,1.814479470252990723e+00,-3.607831895351409912e-04,-1.523941755294799805e-04,-6.256103515625000000e-04
2.213674411177635193e-02,3.798013478517532349e-01,1.813853859901428223e+00,-3.934949636459350586e-04,-2.983212471008300781e-04,-9.750723838806152344e-04
2.174324914813041687e-02,3.795030266046524048e-01,1.812878787517547607e+00,-4.205293953418731689e-04,-4.610717296600341797e-04,-1.404166221618652344e-03
2.132271975278854370e-02,3.790419548749923706e-01,1.811474621295928955e+00,-4.448313266038894653e-04,-7.201582193374633789e-04,-1.886248588562011719e-03
2.087788842618465424e-02,3.783217966556549072e-01,1.809588372707366943e+00,-3.958046436309814453e-04,-1.031637191772460938e-03,-2.450227737426757812e-03
2.048208378255367279e-02,3.772901594638824463e-01,1.807138144969940186e+00,-3.817323595285415649e-04,-1.399084925651550293e-03,-3.093540668487548828e-03
2.010035142302513123e-02,3.758910745382308960e-01,1.804044604301452637e+00,-3.104452043771743774e-04,-1.863613724708557129e-03,-3.739953041076660156e-03
1.978990621864795685e-02,3.740274608135223389e-01,1.800304651260375977e+00,-2.251341938972473145e-04,-2.446860074996948242e-03,-4.477560520172119141e-03
1.956477202475070953e-02,3.715806007385253906e-01,1.795827090740203857e+00,-1.368690282106399536e-04,-3.136903047561645508e-03,-5.213379859924316406e-03
1.942790299654006958e-02,3.684436976909637451e-01,1.790613710880279541e+00,-1.783296465873718262e-05,-3.916710615158081055e-03,-5.974531173706054688e-03
1.941007003188133240e-02,3.645269870758056641e-01,1.784639179706573486e+00,1.263525336980819702e-04,-4.802584648132324219e-03,-6.702423095703125000e-03
1.953642256557941437e-02,3.597244024276733398e-01,1.777936756610870361e+00,2.608187496662139893e-04,-5.788832902908325195e-03,-7.409214973449707031e-03
1.979724131524562836e-02,3.539355695247650146e-01,1.770527541637420654e+00,3.992635756731033325e-04,-6.910473108291625977e-03,-8.013844490051269531e-03
2.019650489091873169e-02,3.470250964164733887e-01,1.762513697147369385e+00,5.626864731311798096e-04,-8.054390549659729004e-03,-8.577406406402587891e-03
2.075919136404991150e-02,3.389707058668136597e-01,1.753936290740966797e+00,7.443670183420181274e-04,-9.353175759315490723e-03,-8.976101875305175781e-03
2.150355838239192963e-02,3.296175301074981689e-01,1.744960188865661621e+00,8.792076259851455688e-04,-1.066021621227264404e-02,-9.290754795074462891e-03
2.238276600837707520e-02,3.189573138952255249e-01,1.735669434070587158e+00,1.014225184917449951e-03,-1.198774576187133789e-02,-9.480893611907958984e-03
2.339699119329452515e-02,3.069695681333541870e-01,1.726188540458679199e+00,1.109920442104339600e-03,-1.329111307859420776e-02,-9.518980979919433594e-03
2.450691163539886475e-02,2.936784550547599792e-01,1.716669559478759766e+00,1.267753541469573975e-03,-1.461782306432723999e-02,-9.390890598297119141e-03
2.577466517686843872e-02,2.790606319904327393e-01,1.707278668880462646e+00,1.341661438345909119e-03,-1.587101817131042480e-02,-9.137570858001708984e-03
2.711632661521434784e-02,2.631896138191223145e-01,1.698141098022460938e+00,1.396317034959793091e-03,-1.704394072294235229e-02,-8.765459060668945312e-03
2.851264365017414093e-02,2.461456730961799622e-01,1.689375638961791992e+00,1.435728743672370911e-03,-1.808904111385345459e-02,-8.267521858215332031e-03
2.994837239384651184e-02,2.280566319823265076e-01,1.681108117103576660e+00,1.491283997893333435e-03,-1.903586089611053467e-02,-7.609963417053222656e-03
3.143965639173984528e-02,2.090207710862159729e-01,1.673498153686523438e+00,1.496472395956516266e-03,-1.982609927654266357e-02,-6.919622421264648438e-03
3.293612878769636154e-02,1.891946718096733093e-01,1.666578531265258789e+00,1.492431387305259705e-03,-2.046051621437072754e-02,-6.097972393035888672e-03
3.442856017500162125e-02,1.687341555953025818e-01,1.660480558872222900e+00,1.422460190951824188e-03,-2.094019204378128052e-02,-5.255520343780517578e-03
3.585102036595344543e-02,1.477939635515213013e-01,1.655225038528442383e+00,1.442297361791133881e-03,-2.122876420617103577e-02,-4.342257976531982422e-03
3.729331772774457932e-02,1.265651993453502655e-01,1.650882780551910400e+00,1.375958323478698730e-03,-2.134829759597778320e-02,-3.421247005462646484e-03
3.866927605122327805e-02,1.052169017493724823e-01,1.647461533546447754e+00,1.308288425207138062e-03,-2.131344191730022430e-02,-2.504944801330566406e-03
3.997756447643041611e-02,8.390345983207225800e-02,1.644956588745117188e+00,1.278277952224016190e-03,-2.110912231728434563e-02,-1.583874225616455078e-03
4.125584242865443230e-02,6.279433751478791237e-02,1.643372714519500732e+00,1.217732671648263931e-03,-2.075628424063324928e-02,-6.935000419616699219e-04
4.247357510030269623e-02,4.203805327415466309e-02,1.642679214477539062e+00,1.150667667388916016e-03,-2.030019275844097137e-02,1.388788223266601562e-04
4.362424276769161224e-02,2.173786051571369171e-02,1.642818093299865723e+00,1.089122146368026733e-03,-1.974564976990222931e-02,9.165406227111816406e-04
4.471336491405963898e-02,1.992210745811462402e-03,1.643734633922576904e+00,1.000721938908100128e-03,-1.904609054327011108e-02,1.618027687072753906e-03
4.571408685296773911e-02,-1.705387979745864868e-02,1.645352661609649658e+00,9.436658583581447601e-04,-1.828934252262115479e-02,2.237439155578613281e-03
4.665775271132588387e-02,-3.534322232007980347e-02,1.647590100765228271e+00,8.448625449091196060e-04,-1.752734556794166565e-02,2.804636955261230469e-03
4.750261525623500347e-02,-5.287056788802146912e-02,1.650394737720489502e+00,7.586692518088966608e-04,-1.671531517058610916e-02,3.284454345703125000e-03
4.826128450804390013e-02,-6.958588305860757828e-02,1.653679192066192627e+00,7.093335443641990423e-04,-1.585902669467031956e-02,3.702521324157714844e-03
4.897061805240809917e-02,-8.544490975327789783e-02,1.657381713390350342e+00,6.498985458165407181e-04,-1.503251283429563046e-02,4.019498825073242188e-03
4.962051659822463989e-02,-1.004774225875735283e-01,1.661401212215423584e+00,5.721715278923511505e-04,-1.422208640724420547e-02,4.283130168914794922e-03
5.019268812611699104e-02,-1.146995089948177338e-01,1.665684342384338379e+00,5.052636843174695969e-04,-1.339969784021377563e-02,4.494845867156982422e-03
5.069795181043446064e-02,-1.280992068350315094e-01,1.670179188251495361e+00,4.627464804798364639e-04,-1.261402107775211334e-02,4.640400409698486328e-03
5.116069829091429710e-02,-1.407132279127836227e-01,1.674819588661193848e+00,4.404019564390182495e-04,-1.188651286065578461e-02,4.776597023010253906e-03
5.160110024735331535e-02,-1.525997407734394073e-01,1.679596185684204102e+00,4.455957096070051193e-04,-1.116763800382614136e-02,4.856228828430175781e-03
5.204669595696032047e-02,-1.637673787772655487e-01,1.684452414512634277e+00,4.394908901304006577e-04,-1.044148579239845276e-02,4.882991313934326172e-03
5.248618684709072113e-02,-1.742088645696640015e-01,1.689335405826568604e+00,4.642726853489875793e-04,-9.803846478462219238e-03,4.941821098327636719e-03
5.295045953243970871e-02,-1.840127110481262207e-01,1.694277226924896240e+00,4.966999404132366180e-04,-9.102720767259597778e-03,4.928410053253173828e-03
5.344715947285294533e-02,-1.931154318153858185e-01,1.699205636978149414e+00,5.673491396009922028e-04,-8.508879691362380981e-03,4.979968070983886719e-03
5.401450861245393753e-02,-2.016243115067481995e-01,1.704185605049133301e+00,6.157495081424713135e-04,-7.868297398090362549e-03,4.936397075653076172e-03
5.463025812059640884e-02,-2.094926089048385620e-01,1.709122002124786377e+00,6.894282996654510498e-04,-7.247351109981536865e-03,4.912376403808593750e-03
5.531968642026185989e-02,-2.167399600148200989e-01,1.714034378528594971e+00,7.635452784597873688e-04,-6.673097610473632812e-03,4.902064800262451172e-03
5.608323169872164726e-02,-2.234130576252937317e-01,1.718936443328857422e+00,8.330484852194786072e-04,-6.067246198654174805e-03,4.867076873779296875e-03
5.691628018394112587e-02,-2.294803038239479065e-01,1.723803520202636719e+00,8.885227143764495850e-04,-5.476579070091247559e-03,4.801154136657714844e-03
5.780480289831757545e-02,-2.349568828940391541e-01,1.728604674339294434e+00,9.097298607230186462e-04,-4.904150962829589844e-03,4.744648933410644531e-03
5.871453275904059410e-02,-2.398610338568687439e-01,1.733349323272705078e+00,9.680450893938541412e-04,-4.372715950012207031e-03,4.693865776062011719e-03
5.968257784843444824e-02,-2.442337498068809509e-01,1.738043189048767090e+00,9.841523133218288422e-04,-3.837138414382934570e-03,4.578471183776855469e-03
6.066673016175627708e-02,-2.480708882212638855e-01,1.742621660232543945e+00,9.148153476417064667e-04,-3.384798765182495117e-03,4.457712173461914062e-03
6.158154550939798355e-02,-2.514556869864463806e-01,1.747079372406005859e+00,8.951309137046337128e-04,-2.904586493968963623e-03,4.326820373535156250e-03
6.247667642310261726e-02,-2.543602734804153442e-01,1.751406192779541016e+00,8.042431436479091644e-04,-2.462610602378845215e-03,4.135668277740478516e-03
6.328091956675052643e-02,-2.568228840827941895e-01,1.755541861057281494e+00,7.249694317579269409e-04,-2.113878726959228516e-03,3.970980644226074219e-03
6.400588899850845337e-02,-2.589367628097534180e-01,1.759512841701507568e+00,5.873744376003742218e-04,-1.758404076099395752e-03,3.750085830688476562e-03
6.459326343610882759e-02,-2.606951668858528137e-01,1.763262927532196045e+00,4.460201598703861237e-04,-1.481108367443084717e-03,3.528177738189697266e-03
6.503928359597921371e-02,-2.621762752532958984e-01,1.766791105270385742e+00,2.773497253656387329e-04,-1.188874244689941406e-03,3.264069557189941406e-03
6.531663332134485245e-02,-2.633651494979858398e-01,1.770055174827575684e+00,1.078359782695770264e-04,-9.938701987266540527e-04,2.998352050781250000e-03
6.542446929961442947e-02,-2.643590196967124939e-01,1.773053526878356934e+00,-8.529610931873321533e-05,-7.810667157173156738e-04,2.726256847381591797e-03
6.533917319029569626e-02,-2.651400864124298096e-01,1.775779783725738525e+00,-2.179332077503204346e-04,-6.685703992843627930e-04,2.464294433593750000e-03
6.512123998254537582e-02,-2.658086568117141724e-01,1.778244078159332275e+00,-3.642383962869644165e-04,-5.081743001937866211e-04,2.169907093048095703e-03
6.475700158625841141e-02,-2.663168311119079590e-01,1.780413985252380371e+00,-4.826067015528678894e-04,-3.984272480010986328e-04,1.896858215332031250e-03
6.427439488470554352e-02,-2.667152583599090576e-01,1.782310843467712402e+00,-5.968306213617324829e-04,-2.887323498725891113e-04,1.619815826416015625e-03
6.367756426334381104e-02,-2.670039907097816467e-01,1.783930659294128418e+00,-6.567039526998996735e-04,-2.018138766288757324e-04,1.370072364807128906e-03
6.302086031064391136e-02,-2.672058045864105225e-01,1.785300731658935547e+00,-7.193870842456817627e-04,-1.359358429908752441e-04,1.143336296081542969e-03
6.230147322639822960e-02,-2.673417404294013977e-01,1.786444067955017090e+00,-7.347809150815010071e-04,-4.582852125167846680e-05,9.205937385559082031e-04
6.156669231131672859e-02,-2.673875689506530762e-01,1.787364661693572998e+00,-7.401336915791034698e-04,2.626329660415649414e-05,7.200241088867187500e-04
6.082655861973762512e-02,-2.673613056540489197e-01,1.788084685802459717e+00,-6.763739511370658875e-04,6.935745477676391602e-05,5.344748497009277344e-04
6.015018466860055923e-02,-2.672919481992721558e-01,1.788619160652160645e+00,-6.477152928709983826e-04,1.412928104400634766e-04,3.491044044494628906e-04
5.950246937572956085e-02,-2.671506553888320923e-01,1.788968265056610107e+00,-6.202585063874721527e-04,1.702457666397094727e-04,2.315044403076171875e-04
5.888221086934208870e-02,-2.669804096221923828e-01,1.789199769496917725e+00,-5.436539649963378906e-04,2.104714512825012207e-04,9.638071060180664062e-05
5.833855690434575081e-02,-2.667699381709098816e-01,1.789296150207519531e+00,-4.367758519947528839e-04,2.499893307685852051e-04,-1.335144042968750000e-05
5.790178105235099792e-02,-2.665199488401412964e-01,1.789282798767089844e+00,-3.856536932289600372e-04,2.646297216415405273e-04,-1.070499420166015625e-04
